layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,aero,50,wiki,0.7765,0.007,40.5089,7.922
2,2000,aero,50,wiki,0.7850,0.007,25.9188,6.531
4,2000,aero,50,wiki,0.7886,0.007,23.7471,5.147
8,2000,aero,50,wiki,0.7879,0.008,42.2686,34.785
16,2000,aero,50,wiki,0.7844,0.011,2279.2766,12285.911
32,2000,aero,50,wiki,0.7777,0.025,177577.7500,1151560.000
1,2000,aero,50,cora,0.7496,0.010,2.2397,0.441
2,2000,aero,50,cora,0.7810,0.011,1.4156,0.257
4,2000,aero,50,cora,0.8019,0.011,1.2379,0.135
8,2000,aero,50,cora,0.8191,0.009,1.0681,0.202
16,2000,aero,50,cora,0.8234,0.008,0.8296,0.142
32,2000,aero,50,cora,0.8176,0.010,0.8440,0.185
64,2000,aero,50,cora,0.8133,0.010,1.2234,0.257
64,2000,aero,50,wiki,0.7791,0.015,60581.2383,172291.781
