layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,fagcn,50,cora,0.2133,0.097,0.0015,0.001
2,2000,fagcn,50,cora,0.2155,0.098,0.0014,0.001
4,2000,fagcn,50,cora,0.1885,0.097,0.0015,0.001
8,2000,fagcn,50,cora,0.2205,0.093,0.0013,0.001
16,2000,fagcn,50,cora,0.2163,0.097,0.0015,0.001
32,2000,fagcn,50,cora,0.2420,0.092,0.0015,0.001
64,2000,fagcn,50,cora,0.2160,0.098,0.0014,0.001
1,2000,fagcn,50,wiki,0.5377,0.020,1.3145,0.040
2,2000,fagcn,50,wiki,0.4895,0.060,1.0106,0.216
4,2000,fagcn,50,wiki,0.2290,0.000,0.0001,0.000
8,2000,fagcn,50,wiki,0.2290,0.000,0.0000,0.000
16,2000,fagcn,50,wiki,0.2290,0.000,0.0001,0.000
32,2000,fagcn,50,wiki,0.2290,0.000,0.0000,0.000
1,2000,fagcn,50,pubmed,0.4095,0.003,0.0033,0.002
2,2000,fagcn,50,pubmed,0.4098,0.003,0.0035,0.002
4,2000,fagcn,50,pubmed,0.4088,0.006,0.0031,0.002
8,2000,fagcn,50,pubmed,0.4093,0.003,0.0039,0.001
16,2000,fagcn,50,pubmed,0.4100,0.003,0.0037,0.002
32,2000,fagcn,50,pubmed,0.4101,0.008,0.0037,0.002
64,2000,fagcn,50,pubmed,0.4096,0.003,0.0033,0.002
1,2000,fagcn,50,computers,0.3745,0.000,0.0432,0.093
2,2000,fagcn,50,computers,0.3745,0.000,0.0000,0.000
4,2000,fagcn,50,computers,0.3745,0.000,0.0000,0.000
8,2000,fagcn,50,computers,0.3745,0.000,0.0000,0.000
16,2000,fagcn,50,computers,0.3745,0.000,0.0000,0.000
32,2000,fagcn,50,computers,0.3745,0.000,0.0000,0.000
