layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
2,2000,gcn,50,cora,0.2059,0.099,0.0233,0.009
1,2000,gcn,50,cora,0.1742,0.089,0.0225,0.008
2,2000,gcn,50,cora,0.2059,0.099,0.0233,0.009
4,2000,gcn,50,cora,0.1862,0.090,0.0241,0.009
8,2000,gcn,50,cora,0.1907,0.087,0.0236,0.009
16,2000,gcn,50,cora,0.2146,0.099,0.0215,0.009
32,2000,gcn,50,cora,0.1872,0.094,0.0224,0.009
64,2000,gcn,50,cora,0.2166,0.096,0.0228,0.009
1,2000,gcn,50,wiki,0.3613,0.119,1.0363,0.219
2,2000,gcn,50,wiki,0.2290,0.000,0.9604,0.067
4,2000,gcn,50,wiki,0.2290,0.000,1.0389,0.131
8,2000,gcn,50,wiki,0.2290,0.000,1.0199,0.060
16,2000,gcn,50,wiki,0.2290,0.000,1.0288,0.056
32,2000,gcn,50,wiki,0.2290,0.000,1.0297,0.051
64,2000,gcn,50,wiki,0.2290,0.000,1.0565,0.058
1,2000,gcn,50,pubmed,0.4101,0.007,0.0483,0.014
2,2000,gcn,50,pubmed,0.4101,0.008,0.0426,0.018
4,2000,gcn,50,pubmed,0.4088,0.004,0.0420,0.021
8,2000,gcn,50,pubmed,0.4090,0.006,0.0517,0.019
16,2000,gcn,50,pubmed,0.4094,0.008,0.0461,0.018
32,2000,gcn,50,pubmed,0.4095,0.005,0.0397,0.019
64,2000,gcn,50,pubmed,0.4089,0.005,0.0472,0.019
1,2000,gcn,50,computers,0.3745,0.000,1.5864,0.041
2,2000,gcn,50,computers,0.3745,0.000,1.5770,0.044
4,2000,gcn,50,computers,0.3745,0.000,1.5810,0.060
8,2000,gcn,50,computers,0.3745,0.000,1.5770,0.046
16,2000,gcn,50,computers,0.3745,0.000,1.5776,0.056
32,2000,gcn,50,computers,0.3745,0.000,1.5787,0.061
64,2000,gcn,50,computers,0.3745,0.000,1.6086,0.064
1,2000,gcn,50,actor,0.2526,0.012,0.1302,0.098
2,2000,gcn,50,actor,0.2524,0.011,0.0448,0.094
4,2000,gcn,50,actor,0.2524,0.011,0.0929,0.124
8,2000,gcn,50,actor,0.2524,0.011,0.0836,0.123
16,2000,gcn,50,actor,0.2524,0.011,0.0979,0.125
32,2000,gcn,50,actor,0.2524,0.011,0.0963,0.123
64,2000,gcn,50,actor,0.2524,0.011,0.0971,0.125
