layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,graphsage,50,cora,0.2250,0.100,0.0326,0.011
2,2000,graphsage,50,cora,0.2143,0.095,0.0855,0.041
4,2000,graphsage,50,cora,0.2128,0.096,0.1241,0.051
8,2000,graphsage,50,cora,0.2025,0.099,0.1370,0.059
16,2000,graphsage,50,cora,0.2057,0.091,0.1259,0.063
32,2000,graphsage,50,cora,0.2055,0.091,0.1358,0.066
64,2000,graphsage,50,cora,0.2192,0.094,0.1393,0.058
1,2000,graphsage,50,wiki,0.5573,0.005,2.6604,0.071
2,2000,graphsage,50,wiki,0.6013,0.025,3.3167,0.220
4,2000,graphsage,50,wiki,0.4826,0.046,4.2607,0.426
8,2000,graphsage,50,wiki,0.2290,0.000,2.0170,0.414
16,2000,graphsage,50,wiki,0.2290,0.000,2.0571,0.351
32,2000,graphsage,50,wiki,0.2290,0.000,2.0223,0.379
64,2000,graphsage,50,wiki,0.2290,0.000,1.9826,0.340
1,2000,graphsage,50,pubmed,0.4205,0.036,0.0607,0.025
2,2000,graphsage,50,pubmed,0.4134,0.022,0.1987,0.037
4,2000,graphsage,50,pubmed,0.4119,0.020,0.2599,0.058
8,2000,graphsage,50,pubmed,0.4099,0.003,0.2973,0.075
16,2000,graphsage,50,pubmed,0.4093,0.003,0.2898,0.088
32,2000,graphsage,50,pubmed,0.4099,0.003,0.2984,0.076
64,2000,graphsage,50,pubmed,0.4094,0.003,0.2971,0.093
1,2000,graphsage,50,computers,0.3745,0.000,1.6683,0.024
2,2000,graphsage,50,computers,0.3745,0.000,2.1776,0.082
4,2000,graphsage,50,computers,0.3745,0.000,2.6016,0.161
8,2000,graphsage,50,computers,0.3745,0.000,3.0237,0.276
16,2000,graphsage,50,computers,0.3745,0.000,3.0297,0.225
32,2000,graphsage,50,computers,0.3745,0.000,2.9976,0.240
64,2000,graphsage,50,computers,0.3745,0.000,3.0345,0.195
