layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,mixhop,50,cora,0.2039,0.091,0.0156,0.011
1,2000,mixhop,50,cora,0.2039,0.091,0.0156,0.011
2,2000,mixhop,50,cora,0.2039,0.091,0.0156,0.011
4,2000,mixhop,50,cora,0.2161,0.097,0.0334,0.024
8,2000,mixhop,50,cora,0.2012,0.094,0.0234,0.021
16,2000,mixhop,50,cora,0.2158,0.100,0.0338,0.025
32,2000,mixhop,50,cora,0.1924,0.092,0.0361,0.023
64,2000,mixhop,50,cora,0.1866,0.093,0.0300,0.022
1,2000,mixhop,50,wiki,0.5313,0.012,2.2990,0.089
2,2000,mixhop,50,wiki,0.5311,0.011,2.3038,0.099
4,2000,mixhop,50,wiki,0.2288,0.001,0.7682,0.145
