layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,appnp,20,cora,0.7705,0.006,0.0237,0.003
2,2000,appnp,20,cora,0.8060,0.007,0.0165,0.002
4,2000,appnp,20,cora,0.8131,0.007,0.0112,0.003
8,2000,appnp,20,cora,0.8173,0.007,0.0114,0.001
16,2000,appnp,20,cora,0.8161,0.007,0.0114,0.001
32,2000,appnp,20,cora,0.8166,0.007,0.0105,0.003
64,2000,appnp,20,cora,0.8169,0.007,0.0105,0.002
1,2000,appnp,20,citeseer,0.6984,0.008,0.0043,0.001
2,2000,appnp,20,citeseer,0.7124,0.006,0.0032,0.000
4,2000,appnp,20,citeseer,0.7140,0.005,0.0025,0.000
8,2000,appnp,20,citeseer,0.7151,0.006,0.0024,0.000
16,2000,appnp,20,citeseer,0.7135,0.006,0.0022,0.000
32,2000,appnp,20,citeseer,0.7138,0.007,0.0023,0.000
64,2000,appnp,20,citeseer,0.7148,0.008,0.0023,0.000
1,2000,appnp,20,pubmed,0.7622,0.006,0.0197,0.006
2,2000,appnp,20,pubmed,0.7849,0.004,0.0094,0.002
4,2000,appnp,20,pubmed,0.7885,0.004,0.0072,0.001
8,2000,appnp,20,pubmed,0.7879,0.003,0.0062,0.001
16,2000,appnp,20,pubmed,0.7894,0.002,0.0058,0.001
32,2000,appnp,20,pubmed,0.7893,0.004,0.0062,0.000
64,2000,appnp,20,pubmed,0.7901,0.002,0.0061,0.001
1,2000,appnp,20,wiki,0.7864,0.006,1.4252,0.354
2,2000,appnp,20,wiki,0.7945,0.005,1.0314,0.206
4,2000,appnp,20,wiki,0.7917,0.005,0.9393,0.201
8,2000,appnp,20,wiki,0.7915,0.005,0.8182,0.158
16,2000,appnp,20,wiki,0.7897,0.006,0.8243,0.159
32,2000,appnp,20,wiki,0.7913,0.005,0.7441,0.121
64,2000,appnp,20,wiki,0.7911,0.005,0.7914,0.172
1,2000,appnp,20,photo,0.8724,0.007,0.0053,0.000
2,2000,appnp,20,photo,0.8854,0.006,0.0043,0.000
4,2000,appnp,20,photo,0.8800,0.006,0.0032,0.000
8,2000,appnp,20,photo,0.8740,0.006,0.0029,0.000
16,2000,appnp,20,photo,0.8744,0.007,0.0028,0.000
32,2000,appnp,20,photo,0.8709,0.006,0.0028,0.000
64,2000,appnp,20,photo,0.8752,0.010,0.0028,0.000
1,2000,appnp,20,computers,0.6974,0.005,0.0048,0.001
2,2000,appnp,20,computers,0.6942,0.007,0.0040,0.000
4,2000,appnp,20,computers,0.6811,0.007,0.0032,0.001
8,2000,appnp,20,computers,0.6564,0.066,0.0030,0.000
16,2000,appnp,20,computers,0.6553,0.066,0.0029,0.001
32,2000,appnp,20,computers,0.6714,0.005,0.0031,0.000
64,2000,appnp,20,computers,0.6719,0.006,0.0031,0.000
