layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,adgn,20,cora,0.6663,0.013,0.2279,0.030
2,2000,adgn,20,cora,0.7461,0.011,0.2404,0.037
4,2000,adgn,20,cora,0.7804,0.008,0.2950,0.044
8,2000,adgn,20,cora,0.7708,0.015,1.5876,0.854
16,2000,adgn,20,cora,0.7717,0.018,6.6273,2.230
32,2000,adgn,20,cora,0.7095,0.049,22.3439,6.667
64,2000,adgn,20,cora,0.6237,0.050,74.3609,32.973
1,2000,adgn,20,citeseer,0.6274,0.006,0.0641,0.008
2,2000,adgn,20,citeseer,0.6716,0.010,0.0804,0.004
4,2000,adgn,20,citeseer,0.6713,0.011,0.1216,0.037
8,2000,adgn,20,citeseer,0.6598,0.019,0.2725,0.272
16,2000,adgn,20,citeseer,0.6456,0.017,1.6876,0.908
32,2000,adgn,20,citeseer,0.5894,0.027,9.8164,3.555
64,2000,adgn,20,citeseer,0.4809,0.072,44.0237,42.601
1,2000,adgn,20,pubmed,0.7426,0.005,0.1252,0.037
2,2000,adgn,20,pubmed,0.7623,0.007,0.1535,0.062
4,2000,adgn,20,pubmed,0.7703,0.005,0.4184,0.233
8,2000,adgn,20,pubmed,0.7726,0.010,1.6266,1.148
