layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,aero,10,cora,0.7069,0.011,37.3678,31.079
2,2000,aero,10,cora,0.7554,0.007,6.4142,11.940
4,2000,aero,10,cora,0.7984,0.007,30.9464,34.042
8,2000,aero,10,cora,0.8225,0.008,19.3245,12.824
16,2000,aero,10,cora,0.8217,0.009,1.5263,1.274
32,2000,aero,10,cora,0.8176,0.010,0.7385,0.539
64,2000,aero,10,cora,0.8176,0.007,2.1860,1.197
1,2000,aero,10,citeseer,0.6418,0.013,10.8858,6.221
2,2000,aero,10,citeseer,0.6639,0.014,12.6940,8.120
4,2000,aero,10,citeseer,0.6876,0.015,23.0467,16.194
8,2000,aero,10,citeseer,0.6964,0.009,5.8460,8.204
16,2000,aero,10,citeseer,0.7015,0.010,3.1902,3.815
32,2000,aero,10,citeseer,0.6971,0.012,1.6245,2.336
64,2000,aero,20,citeseer,0.6880,0.009,0.8552,1.623
1,2000,aero,20,pubmed,0.7436,0.009,9.3900,4.664
2,2000,aero,20,pubmed,0.7674,0.008,7.6497,2.882
4,2000,aero,20,pubmed,0.7806,0.009,12.2906,6.328
8,2000,aero,20,pubmed,0.7899,0.005,5.7457,2.167
16,2000,aero,20,pubmed,0.7934,0.008,3.8596,3.713
32,2000,aero,20,pubmed,0.7913,0.005,1.7039,1.047
64,2000,aero,20,pubmed,0.7926,0.006,6.6878,5.442
1,2000,aero,20,wiki,0.7635,0.004,997.8190,1106.477
2,2000,aero,20,wiki,0.7707,0.006,338.4908,411.643
4,2000,aero,20,wiki,0.7766,0.007,263.9498,540.623
8,2000,aero,20,wiki,0.7816,0.006,188.9665,161.555
16,2000,aero,20,wiki,0.7811,0.005,503.8773,439.840
32,2000,aero,20,wiki,0.7791,0.006,2244.6179,1746.164
64,2000,aero,20,wiki,0.7745,0.011,7394.5273,5095.801
1,2000,aero,20,photo,0.9384,0.005,554.9954,286.116
2,2000,aero,20,photo,0.9455,0.005,132.2135,66.748
4,2000,aero,20,photo,0.9473,0.005,125.5742,20.875
8,2000,aero,20,photo,0.9493,0.006,165.8715,64.965
16,2000,aero,20,photo,0.9502,0.005,72.5368,46.986
32,2000,aero,20,photo,0.9469,0.005,40.8939,27.574
64,2000,aero,20,photo,0.9480,0.004,92.2817,53.220
1,2000,aero,20,computers,0.8860,0.006,913.8334,378.724
2,2000,aero,20,computers,0.8968,0.006,358.0190,191.879
4,2000,aero,20,computers,0.8986,0.006,187.8053,114.842
8,2000,aero,20,computers,0.8980,0.005,179.6613,68.434
16,2000,aero,20,computers,0.9010,0.005,410.9365,455.765
32,2000,aero,20,computers,0.9026,0.005,1208.2094,1687.760
64,2000,aero,20,computers,0.9033,0.005,1240.0389,422.875
