layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,appnp,20,cora,0.7705,0.006,0.0237,0.003
2,2000,appnp,20,cora,0.8060,0.007,0.0165,0.002
4,2000,appnp,20,cora,0.8131,0.007,0.0112,0.003
8,2000,appnp,20,cora,0.8173,0.007,0.0114,0.001
16,2000,appnp,20,cora,0.8161,0.007,0.0114,0.001
32,2000,appnp,20,cora,0.8166,0.007,0.0105,0.003
64,2000,appnp,20,cora,0.8169,0.007,0.0105,0.002
1,2000,appnp,20,citeseer,0.6984,0.008,0.0043,0.001
2,2000,appnp,20,citeseer,0.7124,0.006,0.0032,0.000
4,2000,appnp,20,citeseer,0.7140,0.005,0.0025,0.000
8,2000,appnp,20,citeseer,0.7151,0.006,0.0024,0.000
16,2000,appnp,20,citeseer,0.7135,0.006,0.0022,0.000
32,2000,appnp,20,citeseer,0.7138,0.007,0.0023,0.000
64,2000,appnp,20,citeseer,0.7148,0.008,0.0023,0.000
1,2000,appnp,20,pubmed,0.7622,0.006,0.0197,0.006
2,2000,appnp,20,pubmed,0.7849,0.004,0.0094,0.002
4,2000,appnp,20,pubmed,0.7885,0.004,0.0072,0.001
8,2000,appnp,20,pubmed,0.7879,0.003,0.0062,0.001
16,2000,appnp,20,pubmed,0.7894,0.002,0.0058,0.001
32,2000,appnp,20,pubmed,0.7893,0.004,0.0062,0.000
64,2000,appnp,20,pubmed,0.7901,0.002,0.0061,0.001
