layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,gat,20,cora,0.7590,0.013,0.0322,0.023
2,2000,gat,20,cora,0.7969,0.010,0.4163,0.151
4,2000,gat,20,cora,0.7779,0.015,7.4646,3.981
8,2000,gat,20,cora,0.7540,0.020,22.0000,5.994
16,2000,gat,20,cora,0.5223,0.101,7.6942,6.592
32,2000,gat,20,cora,0.3190,0.000,658713078777665351803725139673088.0000,2944087880014090471814289441161216.000
64,2000,gat,20,cora,0.3190,0.000,inf,nan
1,2000,gat,20,citeseer,0.6918,0.009,0.0091,0.003
2,2000,gat,20,citeseer,0.6901,0.014,0.0306,0.026
4,2000,gat,20,citeseer,0.6328,0.022,1.3776,0.813
8,2000,gat,20,citeseer,0.6277,0.021,5.5875,1.716
16,2000,gat,20,citeseer,0.4000,0.079,2.2269,1.428
32,2000,gat,20,citeseer,0.1865,0.015,31677143222528617576660992.0000,141664492008803373793935360.000
