layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,gprgnn,20,cora,0.7619,0.007,0.0558,0.017
2,2000,gprgnn,20,cora,0.7962,0.008,0.0691,0.029
4,2000,gprgnn,20,cora,0.8120,0.007,0.0813,0.025
8,2000,gprgnn,20,cora,0.8226,0.006,0.0989,0.021
16,2000,gprgnn,20,cora,0.8276,0.007,0.0840,0.030
32,2000,gprgnn,20,cora,0.8246,0.005,0.1024,0.045
64,2000,gprgnn,20,cora,0.8219,0.007,0.1785,0.040
1,2000,gprgnn,20,citeseer,0.6834,0.009,0.0204,0.006
2,2000,gprgnn,20,citeseer,0.7013,0.011,0.0225,0.006
4,2000,gprgnn,20,citeseer,0.7028,0.011,0.0149,0.009
8,2000,gprgnn,20,citeseer,0.7044,0.006,0.0128,0.006
16,2000,gprgnn,20,citeseer,0.7045,0.005,0.0137,0.009
32,2000,gprgnn,20,citeseer,0.7063,0.007,0.0143,0.012
64,2000,gprgnn,20,citeseer,0.7058,0.006,0.0220,0.012
1,2000,gprgnn,20,pubmed,0.7529,0.008,0.0506,0.005
2,2000,gprgnn,20,pubmed,0.7734,0.009,0.0467,0.003
4,2000,gprgnn,20,pubmed,0.7817,0.004,0.0458,0.005
8,2000,gprgnn,20,pubmed,0.7888,0.004,0.0524,0.006
16,2000,gprgnn,20,pubmed,0.7942,0.007,0.0707,0.009
32,2000,gprgnn,20,pubmed,0.7935,0.004,0.1160,0.012
64,2000,gprgnn,20,pubmed,0.7935,0.004,0.1471,0.017
1,2000,gprgnn,20,wiki,0.7804,0.006,7.5709,0.942
2,2000,gprgnn,20,wiki,0.7893,0.005,8.2603,1.311
4,2000,gprgnn,20,wiki,0.7918,0.006,10.0301,1.870
8,2000,gprgnn,20,wiki,0.7934,0.006,9.8129,0.974
16,2000,gprgnn,20,wiki,0.7936,0.006,9.6227,1.028
32,2000,gprgnn,20,wiki,0.7943,0.005,9.3009,0.950
64,2000,gprgnn,20,wiki,0.7945,0.005,9.0889,1.187
1,2000,gprgnn,20,photo,0.9436,0.006,0.1514,0.031
2,2000,gprgnn,20,photo,0.9476,0.005,0.1934,0.111
4,2000,gprgnn,20,photo,0.9504,0.004,0.1630,0.045
8,2000,gprgnn,20,photo,0.9507,0.006,0.1892,0.048
16,2000,gprgnn,20,photo,0.9478,0.006,0.2215,0.062
32,2000,gprgnn,20,photo,0.9457,0.006,0.2972,0.100
64,2000,gprgnn,20,photo,0.9480,0.006,0.3664,0.148
1,2000,gprgnn,20,computers,0.8912,0.006,0.2786,0.062
2,2000,gprgnn,20,computers,0.9014,0.004,0.2914,0.051
4,2000,gprgnn,20,computers,0.9028,0.005,0.2658,0.088
8,2000,gprgnn,20,computers,0.8975,0.006,0.2394,0.067
16,2000,gprgnn,20,computers,0.8927,0.008,0.2311,0.065
32,2000,gprgnn,20,computers,0.8892,0.009,0.2948,0.132
64,2000,gprgnn,20,computers,0.8984,0.010,0.4213,0.170
