layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,graphsage,20,cora,0.7371,0.008,0.0875,0.032
2,2000,graphsage,20,cora,0.7833,0.012,0.6395,0.425
4,2000,graphsage,20,cora,0.7805,0.015,28.4816,28.785
8,2000,graphsage,20,cora,0.7519,0.022,180.4610,86.146
16,2000,graphsage,20,cora,0.4900,0.113,39.5820,35.965
32,2000,graphsage,20,cora,0.3312,0.032,1.2868,1.399
64,2000,graphsage,20,cora,0.3190,0.000,2.2072,1.460
1,2000,graphsage,20,citeseer,0.6733,0.014,0.0176,0.006
2,2000,graphsage,20,citeseer,0.6927,0.010,0.1349,0.105
4,2000,graphsage,20,citeseer,0.6523,0.028,5.1845,7.044
8,2000,graphsage,20,citeseer,0.6131,0.024,59.3640,57.148
16,2000,graphsage,20,citeseer,0.3576,0.078,73.9971,261.494
32,2000,graphsage,20,citeseer,0.2219,0.041,0.9728,0.541
64,2000,graphsage,20,citeseer,0.1869,0.018,1.4053,0.347
1,2000,graphsage,20,pubmed,0.7733,0.006,0.0736,0.020
2,2000,graphsage,20,pubmed,0.7822,0.006,0.5209,0.138
4,2000,graphsage,20,pubmed,0.7703,0.010,86.7512,65.742
8,2000,graphsage,20,pubmed,0.7642,0.015,538.1492,610.269
16,2000,graphsage,20,pubmed,0.6150,0.097,1680.7948,4944.312
32,2000,graphsage,20,pubmed,0.4940,0.097,12.5853,36.864
64,2000,graphsage,20,pubmed,0.4110,0.018,4.5068,3.917
1,2000,graphsage,20,wiki,0.7841,0.005,5.8379,2.092
2,2000,graphsage,20,wiki,0.7875,0.006,27.2504,2.657
4,2000,graphsage,20,wiki,0.7871,0.007,93.0146,27.675
8,2000,graphsage,20,wiki,0.7775,0.010,239.2793,119.836
16,2000,graphsage,20,wiki,0.3316,0.063,12.9231,12.760
32,2000,graphsage,20,wiki,0.2560,0.050,16.1678,10.681
64,2000,graphsage,20,wiki,0.2341,0.024,12.5371,2.949
1,2000,graphsage,20,photo,0.9008,0.007,0.0215,0.001
2,2000,graphsage,20,photo,0.9474,0.006,0.4546,0.110
4,2000,graphsage,20,photo,0.9426,0.009,16.8972,2.231
8,2000,graphsage,20,photo,0.7220,0.242,48.2927,38.023
16,2000,graphsage,20,photo,0.3581,0.072,5.8188,8.764
32,2000,graphsage,20,photo,0.2764,0.058,6.4340,8.840
64,2000,graphsage,20,photo,0.2535,0.000,5.5418,6.531
1,2000,graphsage,20,computers,0.7745,0.005,0.0238,0.002
2,2000,graphsage,20,computers,0.8802,0.009,0.4737,0.066
4,2000,graphsage,20,computers,0.8923,0.007,29.6714,4.202
8,2000,graphsage,20,computers,0.5079,0.149,19.8668,24.888
16,2000,graphsage,20,computers,0.3933,0.032,7.7829,8.960
32,2000,graphsage,20,computers,0.3745,0.000,12.3844,20.948
64,2000,graphsage,20,computers,0.3745,0.000,4.4365,4.159
