layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,gat,20,cora,0.7832,0.006,0.0881,0.023
2,2000,gat,20,cora,0.8195,0.008,1.5305,0.385
4,2000,gat,20,cora,0.7861,0.014,96.3434,84.090
8,2000,gat,20,cora,0.3313,0.030,1678.0371,4109.652
16,2000,gat,20,cora,0.3021,0.052,10748.0850,44940.961
32,2000,gat,20,cora,0.3102,0.038,287583.0312,1239240.125
64,2000,gat,20,cora,0.2922,0.060,190.9635,290.558
1,2000,gat,20,citeseer,0.6941,0.008,0.0222,0.008
2,2000,gat,20,citeseer,0.7026,0.016,0.1605,0.024
4,2000,gat,20,citeseer,0.6725,0.022,84.9275,211.987
8,2000,gat,20,citeseer,0.2536,0.050,310.6787,972.669
16,2000,gat,20,citeseer,0.2026,0.034,83775.4297,204837.000
32,2000,gat,20,citeseer,0.1967,0.034,313854.4688,1310960.250
64,2000,gat,20,citeseer,0.2445,0.045,133.8150,105.630
1,2000,gat,20,pubmed,0.7598,0.005,0.1383,0.036
2,2000,gat,20,pubmed,0.7745,0.006,1.6165,1.092
4,2000,gat,20,pubmed,0.7657,0.013,4755.0815,9904.585
8,2000,gat,20,pubmed,0.4593,0.055,220663.8281,421095.812
16,2000,gat,20,pubmed,0.4239,0.025,118347030528.0000,425870327808.000
32,2000,gat,20,pubmed,0.4228,0.052,1925108360806400.0000,8036617713352704.000
64,2000,gat,20,pubmed,0.4555,0.070,468.5439,658.568
1,2000,gat,20,computers,0.7273,0.011,0.0365,0.002
2,2000,gat,20,computers,0.8530,0.011,0.2320,0.034
4,2000,gat,20,computers,0.7228,0.124,33.6063,53.703
8,2000,gat,20,computers,0.3748,0.002,1598.9291,3566.281
16,2000,gat,20,computers,0.3744,0.000,28.9027,41.953
32,2000,gat,20,computers,0.3745,0.000,87186989056.0000,248792662016.000
64,2000,gat,20,computers,0.3745,0.002,9181.4189,9093.814
