layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,graphsage,10,cora,0.4063,0.031,0.0414,0.027
1,2000,graphsage,10,cora,0.7368,0.005,0.3657,0.076
2,2000,graphsage,10,cora,0.7871,0.009,0.9687,0.212
4,2000,graphsage,10,cora,0.7809,0.012,6.1046,3.074
8,2000,graphsage,10,cora,0.7584,0.036,15.7750,5.192
16,2000,graphsage,10,cora,0.4531,0.144,4.5341,3.423
32,2000,graphsage,10,cora,0.3351,0.031,1.5214,0.534
64,2000,graphsage,10,cora,0.3190,0.000,1.5210,0.730
1,2000,graphsage,10,wiki,0.7839,0.006,7.9210,1.651
2,2000,graphsage,10,wiki,0.7880,0.007,15.6521,1.345
4,2000,graphsage,10,wiki,0.7851,0.007,28.9553,4.644
8,2000,graphsage,10,wiki,0.7772,0.006,41.7857,6.416
16,2000,graphsage,10,wiki,0.3417,0.055,9.5671,2.671
32,2000,graphsage,10,wiki,0.2443,0.039,7.7778,2.616
64,2000,graphsage,10,wiki,0.2303,0.004,nan,nan
1,2000,graphsage,10,pubmed,0.7770,0.006,0.3045,0.034
2,2000,graphsage,10,pubmed,0.7758,0.010,0.9923,0.278
4,2000,graphsage,10,pubmed,0.7712,0.009,10.0825,5.035
8,2000,graphsage,10,pubmed,0.7647,0.016,24.7316,23.631
16,2000,graphsage,10,pubmed,0.5858,0.104,8.2095,5.970
32,2000,graphsage,10,pubmed,0.5425,0.097,5.7378,6.839
64,2000,graphsage,10,pubmed,0.4070,0.000,1.1413,1.358
1,2000,graphsage,10,computers,0.7730,0.003,0.5018,0.024
2,2000,graphsage,10,computers,0.8767,0.008,2.3550,0.260
4,2000,graphsage,10,computers,0.8940,0.009,16.6609,1.315
8,2000,graphsage,10,computers,0.5143,0.170,14.1979,11.362
16,2000,graphsage,10,computers,0.3853,0.031,4.4419,3.863
