layer,epoch,Model,n trials,dataset,Mean test accuracy,std deviation,Mean Dirichlet energy,std Dirichlet energy
1,2000,graphsage,10,cora,0.4063,0.031,0.0414,0.027
1,2000,graphsage,10,cora,0.7368,0.005,0.3657,0.076
2,2000,graphsage,10,cora,0.7871,0.009,0.9687,0.212
4,2000,graphsage,10,cora,0.7809,0.012,6.1046,3.074
8,2000,graphsage,10,cora,0.7584,0.036,15.7750,5.192
16,2000,graphsage,10,cora,0.4531,0.144,4.5341,3.423
32,2000,graphsage,10,cora,0.3351,0.031,1.5214,0.534
64,2000,graphsage,10,cora,0.3190,0.000,1.5210,0.730
1,2000,graphsage,10,wiki,0.7839,0.006,7.9210,1.651
2,2000,graphsage,10,wiki,0.7880,0.007,15.6521,1.345
4,2000,graphsage,10,wiki,0.7851,0.007,28.9553,4.644
8,2000,graphsage,10,wiki,0.7772,0.006,41.7857,6.416
16,2000,graphsage,10,wiki,0.3417,0.055,9.5671,2.671
32,2000,graphsage,10,wiki,0.2443,0.039,7.7778,2.616
64,2000,graphsage,10,wiki,0.2303,0.004,nan,nan
1,2000,graphsage,10,pubmed,0.7770,0.006,0.3045,0.034
2,2000,graphsage,10,pubmed,0.7758,0.010,0.9923,0.278
4,2000,graphsage,10,pubmed,0.7712,0.009,10.0825,5.035
8,2000,graphsage,10,pubmed,0.7647,0.016,24.7316,23.631
16,2000,graphsage,10,pubmed,0.5858,0.104,8.2095,5.970
32,2000,graphsage,10,pubmed,0.5425,0.097,5.7378,6.839
64,2000,graphsage,10,pubmed,0.4070,0.000,1.1413,1.358
1,2000,graphsage,10,computers,0.7730,0.003,0.5018,0.024
2,2000,graphsage,10,computers,0.8767,0.008,2.3550,0.260
4,2000,graphsage,10,computers,0.8940,0.009,16.6609,1.315
8,2000,graphsage,10,computers,0.5143,0.170,14.1979,11.362
16,2000,graphsage,10,computers,0.3853,0.031,4.4419,3.863
32,2000,graphsage,10,computers,0.3763,0.006,6.0974,5.039
64,2000,graphsage,10,computers,0.3745,0.000,6.9761,3.607
2,2000,graphsage,10,citeseer,0.6964,0.011,0.3670,0.091
4,2000,graphsage,10,citeseer,0.6466,0.015,2.6872,1.568
8,2000,graphsage,10,citeseer,0.6168,0.023,5.6729,2.088
16,2000,graphsage,10,citeseer,0.4115,0.104,2.4951,2.300
32,2000,graphsage,10,citeseer,0.2357,0.049,0.7714,0.297
64,2000,graphsage,10,citeseer,0.1820,0.003,0.6972,0.514
1,2000,graphsage,10,cora,0.3892,0.028,0.0197,0.026
2,2000,graphsage,10,cora,0.3222,0.009,0.0293,0.045
4,2000,graphsage,10,cora,0.3190,0.000,0.0216,0.054
8,2000,graphsage,10,cora,0.3190,0.000,0.0209,0.058
16,2000,graphsage,10,cora,0.3190,0.000,0.0141,0.038
32,2000,graphsage,10,cora,0.3020,0.054,0.0502,0.072
64,2000,graphsage,10,cora,0.3190,0.000,0.0289,0.046
1,2000,graphsage,10,wiki,0.7122,0.005,3.6737,0.081
2,2000,graphsage,10,wiki,0.7576,0.013,5.2217,0.202
4,2000,graphsage,10,wiki,0.6962,0.029,8.7444,0.686
8,2000,graphsage,10,wiki,0.2439,0.047,1.5663,0.112
16,2000,graphsage,10,wiki,0.2290,0.000,1.5528,0.024
1,2000,gt,10,cora,0.4150,0.037,0.0607,0.039
2,2000,gt,10,cora,0.3190,0.000,0.0175,0.007
4,2000,gt,10,cora,0.3225,0.010,0.0630,0.080
8,2000,gt,10,cora,0.3190,0.000,0.0146,0.011
16,2000,gt,10,cora,0.3020,0.054,0.0422,0.033
32,2000,gt,10,cora,0.3190,0.000,0.0235,0.015
1,2000,graphsage,10,citeseer,0.3104,0.044,0.0162,0.016
1,2000,graphsage,10,citeseer,0.6746,0.013,0.1397,0.026
1,2000,graphsage,10,citeseer,0.6699,0.011,0.1449,0.028
